Category	Component	Variant / Reference	Quantity	Unit price (€, indicative)	Notes	Decision needed?
Microcontroller	Raspberry Pi Pico (RP2040, no WiFi)	Raspberry Pi Pico H (with headers)	1	4–6	Primary choice. No WiFi overhead, low quiescent current, 2 MB flash.	No — preferred
Microcontroller	ESP32 DevKit	ESP32-WROOM-32 DevKit v1	1	5–8	Alternative if Pico/Arduino core has IRremoteESP8266 issues. More current draw.	Only if Pico fails
IR Transmission	IR LED 940 nm	TSAL6400 or TSAL6200	2	0.20–0.50 each	Buy 2: one for prototype, one spare. 5 mm through-hole.	No
IR Transmission	NPN transistor	2N2222A (TO-92) or S8050	3	0.10–0.20 each	IR LED driver, ~100 mA peak. Buy a few spares.	No
IR Transmission	Resistor 100 Ω (LED current limit)	Through-hole 1/4W	5	0.05 each	For IR LED drive circuit. Buy a strip.	No
IR Reception (dev only)	IR receiver	TSOP38238	1	1–2	Capture original remote signals during development. Not in final device.	No
Rotary selector — Mode	5-position rotary switch	Lorlin CK1060 (1P12T bridged to 5 pos) or Alpha SR16	1	3–6	5 positions: OFF/Fan/Cool/Heat/Dry. OR use 8404-3C on hand (4 pos, drop Dry).	YES — 4 or 5 modes?
Rotary selector — Fan	5 or 6-position rotary switch	Lorlin CK1060 (1P12T bridged) or equivalent	1	3–6	5 pos (speeds 1–5) or 6 pos (Auto + 1–5). Same switch family as Mode.	YES — include Auto?
Rotary selector — Temperature (option A)	11-position rotary switch	Lorlin CK1032 1P12T bridged to 11 pos	1	5–9	Covers 16–26 °C exactly. Larger footprint (~30 mm bushing). Fits 80×100 mm? TBD.	YES — fits enclosure?
Rotary selector — Temperature (option B)	Incremental encoder EC11	EC11 with push button and 20 detents	1	1–3	Infinite rotation, 1 click = 1 °C. Smaller. Push = RESEND. Need soft state in firmware.	YES — alternative to option A
Resistors — ladder	Resistor network for analog readout	10 kΩ through-hole 1/4W (×15)	15	0.05 each	Resistor ladder for rotary selectors on analog pin. Buy a strip of each value.	No
LEDs — addressable	WS2812B LED	WS2812B 5 mm through-hole or SMD 5050	26	0.15–0.40 each	25 for state feedback + 1 IR TX (simple LED). Buy 30 for spares.	No — WS2812B confirmed
LEDs — TX indicator	Simple LED 3 mm red or green	Any standard 3 mm LED	2	0.10 each	Blinks on IR send. Direct GPIO drive (no transistor needed at indicator current).	No
Resistor — LED current limit	Resistor 330 Ω	Through-hole 1/4W	5	0.05 each	For simple TX LED current limit.	No
Push buttons	Momentary tactile switch	6×6 mm PCB tactile switch (e.g. TS-A series)	6	0.10–0.30 each	4 buttons (PWR/ECO/SWING/RESEND). Buy a few extras.	No
Decoupling capacitors	100 nF ceramic capacitor	0.1 µF 50 V through-hole or SMD	10	0.05 each	Power supply decoupling on MCU and WS2812B chain.	No
WS2812B decoupling	300–500 Ω resistor on data line	Through-hole 1/4W	2	0.05 each	Protects WS2812B data input from ringing.	No
Power — battery	Li-Po battery	3.7 V, 1000–2000 mAh, single cell	1	5–12	Size TBD once enclosure layout is known. 1000 mAh = weeks at ~1 mA average.	YES — size after enclosure
Power — charging module	TP4056 USB-C charging module	TP4056 with protection circuit (DW01A + FS8205)	1	0.80–2	Buy the version with protection IC (over-discharge, over-current). USB-C preferred.	No
Power — voltage regulator	3.3 V LDO (if not on MCU board)	MCP1700-3302E or HT7333	1	0.30–0.80	Pico H board has onboard 3.3 V LDO (from USB/VSYS). May not need separate LDO.	Only if needed
Power — low battery indicator	LED + voltage divider resistors	Simple LED + 2× resistor divider	1 set	0.20	Nice-to-have. Monitor battery via MCU ADC, drive LED when below threshold.	Nice to have
Prototyping	Breadboard	400-point or 830-point half/full size	1	2–5	For initial wiring before PCB or perfboard.	No
Prototyping	Jumper wires	Male-male + male-female assortment	1 set	3–5	Dupont wire assortment.	No
Prototyping	Perfboard / stripboard	70×90 mm or similar	2	0.50–1.50 each	For semi-permanent prototype before final PCB.	No
Enclosure (later)	3D printed enclosure	PLA or PETG filament	—	1–3 filament cost	Print after layout is validated on breadboard. ~80×100×25 mm.	After prototype
Connectors (optional)	2.54 mm pin headers	Male straight 40-pin strip	2	0.30–0.80 each	For MCU breakout on perfboard.	No
